,0
1022,-79.0
1023,-53.0
1024,-79.0
1025,-78.0
1026,-78.0
1027,-79.0
1028,-68.0
1029,-68.0
1030,-75.0
1031,-54.0
1032,-72.0
1033,-50.0
1034,-67.0
1035,-67.0
1036,-75.0
1037,-79.0
1038,-71.0
1039,-74.0
1040,-78.0
1041,-79.0
1042,-53.0
1043,-79.0
1044,-78.0
1045,-78.0
1046,-79.0
1047,-67.0
1048,-68.0
1049,-75.0
1050,-54.0
1051,-71.0
1052,-50.0
1053,-67.0
1054,-67.0
1055,-76.0
1056,-79.0
1057,-71.0
1058,-74.0
1059,-78.0
1060,-79.0
1061,-53.0
1062,-79.0
1063,-77.0
1064,-78.0
1065,-79.0
1066,-67.0
1067,-68.0
1068,-75.0
1069,-54.0
1070,-71.0
1071,-49.0
1072,-67.0
1073,-67.0
1074,-75.0
1075,-79.0
1076,-71.0
1077,-74.0
1078,-78.0
1079,-79.0
1080,-53.0
1081,-79.0
1082,-77.0
1083,-78.0
1084,-79.0
1085,-67.0
1086,-67.0
1087,-75.0
1088,-54.0
1089,-71.0
1090,-49.0
1091,-67.0
1092,-67.0
1093,-75.0
1094,-79.0
1095,-71.0
1096,-74.0
1097,-78.0
1098,-79.0
1099,-53.0
1100,-79.0
1101,-77.0
1102,-77.0
1103,-79.0
1104,-67.0
1105,-68.0
1106,-75.0
1107,-53.0
1108,-71.0
1109,-49.0
1110,-67.0
1111,-66.0
1112,-75.0
1113,-79.0
1114,-71.0
1115,-73.0
1116,-78.0
1117,-79.0
1118,-53.0
1119,-79.0
1120,-77.0
1121,-77.0
1122,-79.0
1123,-68.0
1124,-68.0
1125,-75.0
1126,-54.0
1127,-71.0
1128,-49.0
1129,-67.0
1130,-66.0
1131,-74.0
1132,-79.0
1133,-72.0
1134,-73.0
1135,-78.0
1136,-79.0
1137,-53.0
1138,-79.0
1139,-77.0
1140,-77.0
1141,-79.0
1142,-68.0
1143,-67.0
1144,-75.0
1145,-53.0
1146,-71.0
1147,-49.0
1148,-67.0
1149,-64.0
1150,-72.0
1151,-79.0
1152,-70.0
1153,-73.0
1154,-78.0
1155,-79.0
1156,-53.0
1157,-79.0
1158,-77.0
1159,-78.0
1160,-79.0
1161,-68.0
1162,-68.0
1163,-75.0
1164,-54.0
1165,-71.0
1166,-48.0
1167,-67.0
1168,-64.0
1169,-75.0
1170,-79.0
1171,-70.0
1172,-74.0
1173,-78.0
1174,-79.0
1175,-53.0
1176,-79.0
1177,-74.0
1178,-78.0
1179,-79.0
1180,-68.0
1181,-68.0
1182,-75.0
1183,-54.0
1184,-70.0
1185,-49.0
1186,-67.0
1187,-66.0
1188,-74.0
1189,-79.0
1190,-71.0
1191,-72.0
1192,-78.0
1193,-79.0
1194,-53.0
1195,-79.0
1196,-75.0
1197,-77.0
1198,-79.0
1199,-69.0
1200,-68.0
1201,-75.0
1202,-54.0
1203,-69.0
1204,-49.0
1205,-67.0
1206,-66.0
1207,-74.0
1208,-79.0
1209,-71.0
1210,-72.0
1211,-78.0
1212,-79.0
1213,-53.0
1214,-79.0
1215,-75.0
1216,-77.0
1217,-79.0
1218,-68.0
1219,-68.0
1220,-75.0
1221,-53.0
1222,-69.0
1223,-48.0
1224,-68.0
1225,-64.0
1226,-76.0
1227,-79.0
1228,-70.0
1229,-72.0
1230,-78.0
1231,-79.0
1232,-53.0
1233,-79.0
1234,-75.0
1235,-77.0
1236,-79.0
1237,-67.0
1238,-67.0
1239,-75.0
1240,-53.0
1241,-69.0
1242,-48.0
1243,-68.0
1244,-64.0
1245,-76.0
1246,-70.0
1247,-72.0
1248,-78.0
1249,-79.0
1250,-54.0
1251,-79.0
1252,-78.0
1253,-78.0
1254,-79.0
1255,-67.0
1256,-67.0
1257,-75.0
1258,-54.0
1259,-69.0
1260,-49.0
1261,-70.0
1262,-65.0
1263,-74.0
1264,-71.0
1265,-72.0
1266,-78.0
1267,-79.0
1268,-54.0
1269,-79.0
1270,-78.0
1271,-77.0
1272,-79.0
1273,-67.0
1274,-68.0
1275,-76.0
1276,-53.0
1277,-70.0
1278,-49.0
1279,-70.0
1280,-63.0
1281,-75.0
1282,-70.0
1283,-72.0
1284,-78.0
1285,-79.0
1286,-54.0
1287,-79.0
1288,-78.0
1289,-77.0
1290,-79.0
1291,-67.0
1292,-67.0
1293,-76.0
1294,-53.0
1295,-70.0
1296,-48.0
1297,-70.0
1298,-63.0
1299,-76.0
1300,-70.0
1301,-72.0
1302,-78.0
1303,-79.0
1304,-54.0
1305,-79.0
1306,-55.0
1307,-74.0
1308,-78.0
1309,-79.0
1310,-67.0
1311,-69.0
1312,-76.0
1313,-70.0
1314,-49.0
1315,-71.0
1316,-63.0
1317,-76.0
1318,-69.0
1319,-72.0
1320,-78.0
1321,-79.0
1322,-55.0
1323,-79.0
1324,-54.0
1325,-76.0
1326,-78.0
1327,-79.0
1328,-67.0
1329,-68.0
1330,-76.0
1331,-70.0
1332,-49.0
1333,-71.0
1334,-63.0
1335,-75.0
1336,-69.0
1337,-72.0
1338,-78.0
1339,-79.0
1340,-55.0
1341,-79.0
1342,-54.0
1343,-76.0
1344,-78.0
1345,-79.0
1346,-67.0
1347,-68.0
1348,-76.0
1349,-70.0
1350,-48.0
1351,-71.0
1352,-63.0
1353,-76.0
1354,-69.0
1355,-72.0
1356,-78.0
1357,-79.0
1358,-55.0
1359,-79.0
1360,-55.0
1361,-76.0
1362,-78.0
1363,-79.0
1364,-67.0
1365,-68.0
1366,-76.0
1367,-71.0
1368,-48.0
1369,-71.0
1370,-63.0
1371,-76.0
1372,-69.0
1373,-72.0
1374,-78.0
1375,-79.0
1376,-56.0
1377,-79.0
1378,-54.0
1379,-76.0
1380,-78.0
1381,-79.0
1382,-67.0
1383,-68.0
1384,-76.0
1385,-71.0
1386,-48.0
1387,-71.0
1388,-63.0
1389,-76.0
1390,-69.0
1391,-72.0
1392,-78.0
1393,-79.0
1394,-56.0
1395,-79.0
1396,-54.0
1397,-76.0
1398,-78.0
1399,-79.0
1400,-67.0
1401,-68.0
1402,-76.0
1403,-71.0
1404,-47.0
1405,-71.0
1406,-63.0
1407,-74.0
1408,-70.0
1409,-72.0
1410,-78.0
1411,-79.0
1412,-55.0
1413,-79.0
1414,-54.0
1415,-76.0
1416,-76.0
1417,-79.0
1418,-67.0
1419,-68.0
1420,-76.0
1421,-71.0
1422,-48.0
1423,-71.0
1424,-63.0
1425,-75.0
1426,-70.0
1427,-72.0
1428,-78.0
1429,-79.0
1430,-56.0
1431,-79.0
1432,-54.0
1433,-76.0
1434,-76.0
1435,-79.0
1436,-67.0
1437,-67.0
1438,-76.0
1439,-71.0
1440,-47.0
1441,-71.0
1442,-63.0
1443,-77.0
1444,-68.0
1445,-74.0
1446,-78.0
1447,-79.0
1448,-56.0
1449,-79.0
1450,-53.0
1451,-76.0
1452,-76.0
1453,-79.0
1454,-67.0
1455,-68.0
1456,-76.0
1457,-70.0
1458,-47.0
1459,-73.0
1460,-63.0
1461,-76.0
1462,-68.0
1463,-74.0
1464,-78.0
1465,-79.0
1466,-57.0
1467,-79.0
1468,-54.0
1469,-76.0
1470,-77.0
1471,-79.0
1472,-67.0
1473,-68.0
1474,-76.0
1475,-70.0
1476,-47.0
1477,-73.0
1478,-63.0
1479,-76.0
1480,-69.0
1481,-74.0
1482,-78.0
1483,-79.0
1484,-57.0
1485,-79.0
1486,-53.0
1487,-76.0
1488,-77.0
1489,-79.0
1490,-69.0
1491,-68.0
1492,-76.0
1493,-71.0
